record_id,name,category,region,year,score,value
1000001,Ece Demir,fashion,Southeast,2020,89,3494
1000002,Kerem Kurt,home,Mediterranean,2018,44,1851
1000003,Derya Kurt,fashion,Aegean,2023,70,1813
1000004,Ece Aksoy,sports,Mediterranean,2023,95,610
1000005,Ece Sahin,books,Southeast,2018,43,2660
1000006,Ayse Kurt,electronics,Southeast,2018,67,929
1000007,Melis Aksoy,home,Mediterranean,2022,42,1375
1000008,Seda Sahin,toys,Southeast,2019,54,4277
1000009,Ayse Tas,toys,Central Anatolia,2018,54,1847
1000010,Can Demir,home,Aegean,2025,59,1031
1000011,Melis Aksoy,fashion,Southeast,2024,41,2175
1000012,Can Aksoy,electronics,Mediterranean,2025,71,2579
1000013,Burak Polat,fashion,Central Anatolia,2022,40,937
1000014,Yigit Kaya,sports,Black Sea,2019,72,3196
1000015,Melis Kaya,grocery,Southeast,2024,64,3691
1000016,Elif Aydin,home,Black Sea,2021,63,2508
1000017,Emre Yaman,grocery,Southeast,2018,85,2598
1000018,Can Aksoy,books,Southeast,2022,84,4842
1000019,Yigit Gunes,books,Southeast,2018,85,4329
1000020,Asli Sahin,sports,Central Anatolia,2020,65,3925
1000021,Derya Kaya,toys,Mediterranean,2024,52,3246
1000022,Emre Kurt,toys,Aegean,2025,63,1230
1000023,Asli Yaman,home,Aegean,2019,63,611
1000024,Asli Celik,electronics,Black Sea,2018,42,3177
1000025,Ayse Celik,home,Black Sea,2024,68,1996
1000026,Can Kaya,sports,Aegean,2018,48,4225
1000027,Zeynep Tekin,electronics,Mediterranean,2023,57,4992
1000028,Mert Demir,toys,Mediterranean,2021,77,3434
1000029,Kerem Gunes,toys,Marmara,2018,79,1997
1000030,Melis Yaman,fashion,Aegean,2019,64,2656
1000031,Deniz Demir,toys,Marmara,2020,52,773
1000032,Ayse Aksoy,electronics,Southeast,2021,46,4890
1000033,Derya Yaman,home,Aegean,2020,74,3624
1000034,Zeynep Arslan,fashion,Southeast,2019,50,3387
1000035,Can Polat,home,Black Sea,2022,46,2890
1000036,Mert Tas,fashion,Black Sea,2020,84,1734
1000037,Deniz Yaman,fashion,Black Sea,2025,89,2349
1000038,Zeynep Arslan,electronics,Marmara,2023,61,4500
1000039,Ece Yilmaz,books,Southeast,2020,45,4062
1000040,Can Sahin,sports,Black Sea,2019,74,965
1000041,Can Polat,electronics,Black Sea,2018,53,784
1000042,Elif Tas,toys,Central Anatolia,2019,80,4469
1000043,Seda Gunes,toys,Black Sea,2023,42,1230
1000044,Elif Yaman,sports,Marmara,2021,48,3767
1000045,Burak Kurt,fashion,Central Anatolia,2021,62,941
1000046,Elif Demir,books,Southeast,2021,91,1362
1000047,Ayse Polat,sports,Southeast,2021,64,3108
1000048,Ece Celik,grocery,Aegean,2023,59,3391
1000049,Melis Aksoy,grocery,Southeast,2020,59,1826
1000050,Ece Demir,fashion,Aegean,2020,60,3643
1000051,Mert Demir,fashion,Black Sea,2019,54,1391
1000052,Deniz Kaya,electronics,Mediterranean,2019,72,2347
1000053,Zeynep Yaman,home,Central Anatolia,2021,83,2129
1000054,Derya Kurt,grocery,Aegean,2022,67,1812
1000055,Kerem Kaya,sports,Southeast,2023,52,3183
1000056,Derya Sahin,toys,Central Anatolia,2022,69,833
1000057,Emre Kaya,sports,Mediterranean,2022,42,2285
1000058,Kerem Gunes,fashion,Southeast,2022,58,3952
1000059,Ece Aydin,electronics,Southeast,2018,55,4022
1000060,Elif Yilmaz,home,Southeast,2022,48,713
1000061,Zeynep Yaman,electronics,Central Anatolia,2018,85,4347
1000062,Kerem Yilmaz,grocery,Aegean,2023,72,692
1000063,Emre Kaya,books,Aegean,2025,57,709
1000064,Can Yilmaz,sports,Central Anatolia,2021,79,2129
1000065,Mert Tekin,home,Mediterranean,2018,80,3542
1000066,Derya Aydin,electronics,Aegean,2022,50,740
1000067,Mert Demir,electronics,Marmara,2018,90,3713
1000068,Derya Tekin,books,Central Anatolia,2022,56,2859
1000069,Ece Yaman,grocery,Southeast,2021,69,2748
1000070,Elif Yaman,books,Marmara,2025,85,1116
1000071,Melis Tas,electronics,Central Anatolia,2023,52,1214
1000072,Emre Sahin,home,Central Anatolia,2018,85,1026
1000073,Kerem Yaman,grocery,Mediterranean,2025,48,3755
1000074,Ayse Kurt,books,Central Anatolia,2019,60,3550
1000075,Deniz Polat,sports,Aegean,2018,65,2468
1000076,Can Kurt,sports,Southeast,2021,75,3334
1000077,Deniz Kaya,grocery,Mediterranean,2024,98,4512
1000078,Can Kaya,sports,Mediterranean,2018,48,2925
1000079,Yigit Yilmaz,fashion,Central Anatolia,2024,93,2344
1000080,Zeynep Polat,electronics,Central Anatolia,2022,47,688
1000081,Burak Tekin,electronics,Black Sea,2025,62,550
1000082,Elif Demir,toys,Southeast,2025,72,585
1000083,Burak Celik,books,Aegean,2019,79,2598
1000084,Derya Demir,sports,Aegean,2025,71,2069
1000085,Irem Kurt,electronics,Marmara,2025,84,2073
1000086,Burak Aksoy,grocery,Mediterranean,2020,71,3075
1000087,Elif Aydin,grocery,Black Sea,2020,86,3124
1000088,Can Demir,books,Aegean,2021,87,654
1000089,Burak Kaya,sports,Black Sea,2020,83,1490
1000090,Deniz Kurt,sports,Mediterranean,2023,61,2554
1000091,Asli Kurt,electronics,Central Anatolia,2023,53,2664
1000092,Derya Tekin,fashion,Aegean,2021,65,4621
1000093,Seda Celik,sports,Central Anatolia,2020,66,1195
1000094,Emre Aydin,books,Black Sea,2024,69,1328
1000095,Yigit Kaya,toys,Black Sea,2022,56,876
1000096,Can Celik,grocery,Mediterranean,2025,66,1717
1000097,Yigit Kurt,sports,Mediterranean,2022,76,3084
1000098,Deniz Tas,electronics,Black Sea,2024,55,1257
1000099,Seda Yaman,home,Central Anatolia,2022,85,3144
1000100,Asli Yaman,toys,Central Anatolia,2023,68,3752
1000101,Irem Sahin,grocery,Central Anatolia,2023,45,1699
1000102,Derya Yilmaz,home,Marmara,2025,68,1976
1000103,Emre Aksoy,electronics,Aegean,2024,92,3687
1000104,Derya Tekin,fashion,Southeast,2025,74,1763
1000105,Melis Kurt,sports,Southeast,2019,61,1387
1000106,Irem Yaman,sports,Central Anatolia,2024,51,1115
1000107,Asli Polat,toys,Aegean,2018,80,2666
1000108,Seda Kurt,grocery,Black Sea,2021,46,4618
1000109,Derya Aksoy,sports,Mediterranean,2023,52,1535
1000110,Asli Aydin,home,Mediterranean,2019,44,3022
1000111,Asli Gunes,fashion,Central Anatolia,2022,61,3644
1000112,Derya Kurt,toys,Marmara,2022,80,1263
1000113,Derya Polat,grocery,Southeast,2020,84,4280
1000114,Zeynep Tekin,fashion,Black Sea,2023,88,4338
1000115,Yigit Yilmaz,fashion,Aegean,2022,77,4166
1000116,Ayse Yilmaz,home,Central Anatolia,2023,70,3616
1000117,Irem Yaman,sports,Aegean,2021,64,1072
1000118,Zeynep Tas,sports,Marmara,2021,67,1239
1000119,Asli Polat,electronics,Southeast,2022,78,2800
1000120,Mert Polat,books,Marmara,2023,47,4282
1000121,Burak Aksoy,grocery,Aegean,2020,49,4120
1000122,Emre Aydin,grocery,Aegean,2020,76,3834
1000123,Kerem Gunes,electronics,Central Anatolia,2023,42,4780
1000124,Seda Aksoy,electronics,Marmara,2021,61,4424
1000125,Irem Kurt,toys,Central Anatolia,2023,58,4727
1000126,Emre Gunes,electronics,Central Anatolia,2023,59,4375
1000127,Derya Kaya,home,Black Sea,2024,80,4670
1000128,Ayse Tas,books,Aegean,2023,43,4424
