record_id,name,category,region,year,score,value
1000001,Emre Kaya,fashion,Southeast,2020,89,3494
1000002,Doga Gurcan,home,Mediterranean,2018,44,1851
1000003,Fatma Gurcan,fashion,Aegean,2023,70,1813
1000004,Irem Narin,sports,Mediterranean,2023,95,610
1000005,Irem Simsek,books,Marmara,2024,87,913
1000006,Baris Bulut,sports,Marmara,2019,55,4049
1000007,Mert Sahin,sports,Black Sea,2019,74,2771
1000008,Emir Arslan,books,Marmara,2023,99,3423
1000009,Yigit Bulut,sports,Southeast,2022,44,3020
1000010,Mert Sahin,electronics,Aegean,2019,72,884
1000011,Onur Kurt,home,Marmara,2020,57,1143
1000012,Ceren Mutlu,fashion,Southeast,2024,41,2175
1000013,Ayse Mutlu,electronics,Mediterranean,2025,71,2579
1000014,Yigit Yaman,fashion,Central Anatolia,2022,40,937
1000015,Nilay Aydin,sports,Black Sea,2019,72,3196
1000016,Ceren Yilmaz,grocery,Southeast,2024,64,3691
1000017,Elif Gunes,home,Black Sea,2021,63,2508
1000018,Kaan Kaplan,grocery,Southeast,2018,85,2598
1000019,Mert Mutlu,books,Southeast,2022,84,4842
1000020,Onur Cakir,books,Southeast,2018,85,4329
1000021,Ramazan Aksoy,sports,Central Anatolia,2020,65,3925
1000022,Gokhan Yilmaz,toys,Mediterranean,2024,52,3246
1000023,Kaan Gurcan,toys,Aegean,2025,63,1230
1000024,Ramazan Kaplan,home,Aegean,2019,63,611
1000025,Pinar Dogan,electronics,Black Sea,2018,42,3177
1000026,Zeynep Erdogan,home,Black Sea,2024,68,1996
1000027,Ayse Aydin,sports,Aegean,2018,48,4225
1000028,Seda Pektas,electronics,Mediterranean,2023,57,4992
1000029,Burak Demir,toys,Mediterranean,2021,77,3434
1000030,Doga Cakir,toys,Marmara,2018,79,1997
1000031,Baris Liman,fashion,Aegean,2019,64,2656
1000032,Melis Kaya,toys,Marmara,2020,52,773
1000033,Deniz Narin,electronics,Southeast,2021,46,4890
1000034,Gokhan Liman,home,Aegean,2020,74,3624
1000035,Seda Hamit,fashion,Southeast,2019,50,3387
1000036,Mert Yaman,home,Black Sea,2022,46,2890
1000037,Burak Kurt,fashion,Black Sea,2020,84,1734
1000038,Kerem Kaplan,fashion,Black Sea,2025,89,2349
1000039,Derya Ilhan,electronics,Marmara,2023,61,4500
1000040,Irem Polat,books,Southeast,2020,45,4062
1000041,Ayse Aksoy,sports,Black Sea,2019,74,965
1000042,Ayse Yaman,electronics,Black Sea,2018,53,784
1000043,Can Celik,toys,Central Anatolia,2019,80,4469
1000044,Hande Rana,grocery,Mediterranean,2025,87,816
1000045,Can Liman,sports,Marmara,2021,48,3767
1000046,Yigit Gurcan,fashion,Central Anatolia,2021,62,941
1000047,Elif Kaya,books,Southeast,2021,91,1362
1000048,Deniz Arslan,sports,Southeast,2021,64,3108
1000049,Emre Dogan,grocery,Aegean,2023,59,3391
1000050,Baris Mutlu,grocery,Southeast,2020,59,1826
1000051,Irem Demir,fashion,Aegean,2020,60,3643
1000052,Ece Demir,fashion,Black Sea,2019,54,1391
1000053,Melis Aydin,electronics,Mediterranean,2019,72,2347
1000054,Seda Liman,home,Central Anatolia,2021,83,2129
1000055,Fatma Findik,grocery,Aegean,2022,67,1812
1000056,Emir Aydin,sports,Southeast,2023,52,3183
1000057,Fatma Aksoy,toys,Central Anatolia,2022,69,833
1000058,Jale Yilmaz,sports,Mediterranean,2022,42,2285
1000059,Emir Bulut,fashion,Southeast,2022,58,3952
1000060,Irem Gunes,electronics,Southeast,2018,55,4022
1000061,Can Simsek,grocery,Black Sea,2020,91,2896
1000062,Melis Findik,toys,Aegean,2018,50,974
1000063,Pinar Polat,electronics,Mediterranean,2022,90,1981
1000064,Can Aksoy,toys,Central Anatolia,2022,46,4212
1000065,Kerem Celik,grocery,Black Sea,2018,72,4707
1000066,Kerem Gurcan,sports,Central Anatolia,2021,79,2129
1000067,Ece Pektas,home,Mediterranean,2018,80,3542
1000068,Gokhan Gunes,electronics,Aegean,2022,50,740
1000069,Burak Demir,electronics,Marmara,2018,90,3713
1000070,Gokhan Ozdemir,books,Central Anatolia,2022,56,2859
1000071,Irem Liman,grocery,Southeast,2021,69,2748
1000072,Can Kaplan,books,Marmara,2025,85,1116
1000073,Baris Celik,electronics,Central Anatolia,2023,52,1214
1000074,Kaan Aksoy,home,Central Anatolia,2018,85,1026
1000075,Doga Liman,grocery,Mediterranean,2025,48,3755
1000076,Zeynep Findik,books,Central Anatolia,2019,60,3550
1000077,Kerem Yaman,sports,Aegean,2018,65,2468
1000078,Mert Gurcan,sports,Southeast,2021,75,3334
1000079,Kerem Aydin,grocery,Mediterranean,2024,98,4512
1000080,Zeynep Erdogan,sports,Mediterranean,2024,48,2925
1000081,Onur Tas,fashion,Central Anatolia,2024,93,2344
1000082,Seda Yaman,electronics,Central Anatolia,2022,47,688
1000083,Asli Ozdemir,electronics,Black Sea,2025,62,550
1000084,Can Demir,toys,Southeast,2025,72,585
1000085,Asli Rana,books,Aegean,2019,79,2598
1000086,Fatma Simsek,grocery,Central Anatolia,2018,96,4657
1000087,Emre Dogan,sports,Black Sea,2024,68,2416
1000088,Elif Kaplan,toys,Mediterranean,2021,55,1756
1000089,Ramazan Kaplan,toys,Southeast,2023,95,624
1000090,Fatma Polat,books,Marmara,2025,55,572
1000091,Can Ozdemir,sports,Black Sea,2021,96,2452
1000092,Melis Erdogan,home,Black Sea,2019,49,3075
1000093,Gokhan Arslan,sports,Marmara,2022,71,3505
1000094,Irem Celik,home,Aegean,2024,67,1606
1000095,Ece Yaman,sports,Central Anatolia,2020,66,1195
1000096,Jale Gunes,books,Black Sea,2024,69,1328
1000097,Nilay Aydin,toys,Black Sea,2022,56,876
1000098,Ayse Dogan,grocery,Mediterranean,2025,66,1717
1000099,Onur Findik,sports,Mediterranean,2022,76,3084
1000100,Melis Kurt,electronics,Black Sea,2024,55,1257
1000101,Ilker Liman,home,Central Anatolia,2022,85,3144
1000102,Ramazan Kaplan,toys,Central Anatolia,2023,68,3752
1000103,Mustafa Aksoy,grocery,Central Anatolia,2023,45,1699
1000104,Gokhan Polat,home,Marmara,2025,68,1976
1000105,Jale Mutlu,electronics,Aegean,2024,92,3687
1000106,Fatma Ozdemir,fashion,Southeast,2025,74,1763
1000107,Ceren Gurcan,sports,Southeast,2019,61,1387
1000108,Mustafa Kaplan,sports,Central Anatolia,2024,51,1115
1000109,Ramazan Arslan,toys,Aegean,2018,80,2666
1000110,Ilker Findik,grocery,Black Sea,2021,46,4618
1000111,Gokhan Narin,sports,Mediterranean,2023,52,1535
1000112,Pinar Sahin,home,Mediterranean,2019,44,3022
1000113,Pinar Bulut,fashion,Central Anatolia,2022,61,3644
1000114,Fatma Simsek,toys,Marmara,2022,80,1263
1000115,Fatma Arslan,grocery,Southeast,2020,84,4280
1000116,Ayse Aydin,fashion,Black Sea,2018,88,4338
1000117,Onur Tas,fashion,Aegean,2022,77,4166
1000118,Deniz Tas,home,Central Anatolia,2023,70,3616
1000119,Lale Simsek,sports,Aegean,2021,64,1072
1000120,Seda Kurt,sports,Marmara,2021,67,1239
1000121,Pinar Yaman,electronics,Southeast,2022,78,2800
1000122,Ece Arslan,books,Marmara,2023,47,4282
1000123,Asli Narin,grocery,Aegean,2020,49,4120
1000124,Kaan Gunes,grocery,Aegean,2020,76,3834
1000125,Doga Bulut,electronics,Central Anatolia,2023,42,4780
1000126,Hande Mutlu,electronics,Marmara,2021,61,4424
1000127,Mustafa Findik,toys,Central Anatolia,2023,58,4727
1000128,Jale Bulut,electronics,Central Anatolia,2023,59,4375
1000129,Fatma Yilmaz,home,Black Sea,2024,80,4670
1000130,Zeynep Celik,books,Aegean,2023,43,4424
1000131,Zeynep Dogan,electronics,Southeast,2019,83,1764
1000132,Yigit Aydin,electronics,Southeast,2024,48,3461
1000133,Nilay Kaplan,books,Mediterranean,2019,83,1131
1000134,Ceren Kaplan,toys,Marmara,2020,51,4526
1000135,Lale Hamit,toys,Black Sea,2025,40,4622
1000136,Nilay Aydin,books,Aegean,2020,42,4835
1000137,Fatma Polat,sports,Mediterranean,2021,50,1735
